model_name,model_family,hf_model_id,method,epoch,train_loss,train_accuracy,val_macro_f1,val_accuracy
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,27,0.010793786495923996,1.0,0.7727272727272728,0.8461538461538461
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,28,0.012533489614725113,1.0,0.7727272727272728,0.8461538461538461
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,29,0.010772583074867725,1.0,0.7727272727272728,0.8461538461538461
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,30,0.008879384957253933,1.0,0.7727272727272728,0.8461538461538461
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,31,0.008661100640892982,1.0,0.7727272727272728,0.8461538461538461
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,32,0.009044477716088295,1.0,0.7727272727272728,0.8461538461538461
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,33,0.009830690920352936,1.0,0.7727272727272728,0.8461538461538461
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,34,0.007853344082832336,1.0,0.7727272727272728,0.8461538461538461
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,35,0.006369753275066614,1.0,0.7727272727272728,0.8461538461538461
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,36,0.007433242630213499,1.0,0.7727272727272728,0.8461538461538461
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,37,0.008263272233307362,1.0,0.7727272727272728,0.8461538461538461
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,38,0.006948218215256929,1.0,0.7727272727272728,0.8461538461538461
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,39,0.0060240402817726135,1.0,0.7727272727272728,0.8461538461538461
