model,family,scope,method,label,x,y
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.0000,0.0476
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.0000,0.1905
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.0690,0.1905
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.0690,0.2381
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.1034,0.2381
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.1034,0.3333
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.1379,0.3333
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.1379,0.6190
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.2069,0.6190
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.2069,0.6667
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.2414,0.6667
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.2414,0.7143
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.5172,0.7143
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.5172,0.8095
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.6207,0.8095
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.6207,0.8571
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.6897,0.8571
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.6897,0.9048
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.7586,0.9048
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.7586,0.9524
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.8621,0.9524
convnext_tiny_emotion,cnn,dev,single_frame,neutral,0.8621,1.0000
convnext_tiny_emotion,cnn,dev,single_frame,neutral,1.0000,1.0000
convnext_tiny_emotion,cnn,dev,single_frame,positive,0.0000,0.0000
convnext_tiny_emotion,cnn,dev,single_frame,positive,0.0250,0.0000
convnext_tiny_emotion,cnn,dev,single_frame,positive,0.2250,0.0000
convnext_tiny_emotion,cnn,dev,single_frame,positive,0.2250,0.1000
convnext_tiny_emotion,cnn,dev,single_frame,positive,0.3000,0.1000
convnext_tiny_emotion,cnn,dev,single_frame,positive,0.3000,0.3000
convnext_tiny_emotion,cnn,dev,single_frame,positive,0.3250,0.3000
convnext_tiny_emotion,cnn,dev,single_frame,positive,0.3250,0.4000
convnext_tiny_emotion,cnn,dev,single_frame,positive,0.3750,0.4000
convnext_tiny_emotion,cnn,dev,single_frame,positive,0.3750,0.5000
convnext_tiny_emotion,cnn,dev,single_frame,positive,0.4750,0.5000
convnext_tiny_emotion,cnn,dev,single_frame,positive,0.4750,0.7000
convnext_tiny_emotion,cnn,dev,single_frame,positive,0.7250,0.7000
convnext_tiny_emotion,cnn,dev,single_frame,positive,0.7250,0.8000
convnext_tiny_emotion,cnn,dev,single_frame,positive,1.0000,0.8000
convnext_tiny_emotion,cnn,dev,single_frame,positive,1.0000,1.0000
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.0000,0.0000
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.0323,0.0000
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.0323,0.3684
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.0645,0.3684
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.0645,0.4211
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.1935,0.4211
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.1935,0.5789
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.2903,0.5789
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.2903,0.6842
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.3548,0.6842
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.3548,0.7368
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.3871,0.7368
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.3871,0.7895
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.4516,0.7895
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.4516,0.8421
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.5806,0.8421
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.5806,0.9474
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.6129,0.9474
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.6129,1.0000
convnext_tiny_emotion,cnn,dev,smoothed,negative,1.0000,1.0000
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.0000,0.0000
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.0000,0.0476
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.0000,0.1429
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.0345,0.1429
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.0345,0.1905
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.0690,0.1905
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.0690,0.4762
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.1379,0.4762
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.1379,0.5714
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.1724,0.5714
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.1724,0.6190
convnext_tiny_emotion,cnn,dev,smoothed,neutral,0.2069,0.6190
