model,family,scope,method,label,x,y
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.0784,1.0000
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.0588,1.0000
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.0392,1.0000
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.0196,1.0000
convnext_tiny_emotion,cnn,all,single_frame,neutral,0.0000,1.0000
convnext_tiny_emotion,cnn,all,single_frame,positive,1.0000,0.2200
convnext_tiny_emotion,cnn,all,single_frame,positive,1.0000,0.2222
convnext_tiny_emotion,cnn,all,single_frame,positive,1.0000,0.2245
convnext_tiny_emotion,cnn,all,single_frame,positive,0.9545,0.2165
convnext_tiny_emotion,cnn,all,single_frame,positive,0.9545,0.2188
convnext_tiny_emotion,cnn,all,single_frame,positive,0.9545,0.2211
convnext_tiny_emotion,cnn,all,single_frame,positive,0.9545,0.2234
convnext_tiny_emotion,cnn,all,single_frame,positive,0.9091,0.2151
convnext_tiny_emotion,cnn,all,single_frame,positive,0.9091,0.2174
convnext_tiny_emotion,cnn,all,single_frame,positive,0.9091,0.2198
convnext_tiny_emotion,cnn,all,single_frame,positive,0.9091,0.2222
convnext_tiny_emotion,cnn,all,single_frame,positive,0.9091,0.2247
convnext_tiny_emotion,cnn,all,single_frame,positive,0.9091,0.2273
convnext_tiny_emotion,cnn,all,single_frame,positive,0.8636,0.2184
convnext_tiny_emotion,cnn,all,single_frame,positive,0.8636,0.2209
convnext_tiny_emotion,cnn,all,single_frame,positive,0.8636,0.2235
convnext_tiny_emotion,cnn,all,single_frame,positive,0.8182,0.2143
convnext_tiny_emotion,cnn,all,single_frame,positive,0.8182,0.2169
convnext_tiny_emotion,cnn,all,single_frame,positive,0.8182,0.2195
convnext_tiny_emotion,cnn,all,single_frame,positive,0.7727,0.2099
convnext_tiny_emotion,cnn,all,single_frame,positive,0.7727,0.2125
convnext_tiny_emotion,cnn,all,single_frame,positive,0.7727,0.2152
convnext_tiny_emotion,cnn,all,single_frame,positive,0.7727,0.2179
convnext_tiny_emotion,cnn,all,single_frame,positive,0.7273,0.2078
convnext_tiny_emotion,cnn,all,single_frame,positive,0.7273,0.2105
convnext_tiny_emotion,cnn,all,single_frame,positive,0.7273,0.2133
convnext_tiny_emotion,cnn,all,single_frame,positive,0.6818,0.2027
convnext_tiny_emotion,cnn,all,single_frame,positive,0.6818,0.2055
convnext_tiny_emotion,cnn,all,single_frame,positive,0.6818,0.2083
convnext_tiny_emotion,cnn,all,single_frame,positive,0.6818,0.2113
convnext_tiny_emotion,cnn,all,single_frame,positive,0.6818,0.2143
convnext_tiny_emotion,cnn,all,single_frame,positive,0.6818,0.2174
convnext_tiny_emotion,cnn,all,single_frame,positive,0.6818,0.2206
convnext_tiny_emotion,cnn,all,single_frame,positive,0.6364,0.2090
